Timestamp,Command
2024-07-13 21:49:45.053,"{'type': 'key_press', 'key': 'e', 'special': False, 'action': 'press'}"
2024-07-13 21:49:45.125,"{'type': 'key_press', 'key': 'e', 'special': False, 'action': 'release'}"
2024-07-13 21:49:46.658,"{'type': 'key_press', 'key': 'enter', 'special': True, 'action': 'press'}"
2024-07-13 21:49:46.732,"{'type': 'key_press', 'key': 'enter', 'special': True, 'action': 'release'}"
2024-07-13 21:49:51.379,"{'type': 'mouse_click', 'x': 1064.33203125, 'y': 103.1640625, 'button': 'left', 'pressed': True}"
2024-07-13 21:49:51.470,"{'type': 'mouse_click', 'x': 1064.33203125, 'y': 103.1640625, 'button': 'left', 'pressed': False}"
2024-07-13 21:49:52.387,"{'type': 'key_press', 'key': 'y', 'special': False, 'action': 'press'}"
2024-07-13 21:49:52.479,"{'type': 'key_press', 'key': 'y', 'special': False, 'action': 'release'}"
2024-07-13 21:49:52.550,"{'type': 'key_press', 'key': 'o', 'special': False, 'action': 'press'}"
2024-07-13 21:49:52.646,"{'type': 'key_press', 'key': 'u', 'special': False, 'action': 'press'}"
2024-07-13 21:49:52.677,"{'type': 'key_press', 'key': 'o', 'special': False, 'action': 'release'}"
2024-07-13 21:49:52.738,"{'type': 'key_press', 'key': 'u', 'special': False, 'action': 'release'}"
2024-07-13 21:49:52.791,"{'type': 'key_press', 'key': 't', 'special': False, 'action': 'press'}"
2024-07-13 21:49:52.874,"{'type': 'key_press', 'key': 't', 'special': False, 'action': 'release'}"
2024-07-13 21:49:52.935,"{'type': 'key_press', 'key': 'u', 'special': False, 'action': 'press'}"
2024-07-13 21:49:53.009,"{'type': 'key_press', 'key': 'u', 'special': False, 'action': 'release'}"
2024-07-13 21:49:53.091,"{'type': 'key_press', 'key': 'b', 'special': False, 'action': 'press'}"
2024-07-13 21:49:53.163,"{'type': 'key_press', 'key': 'b', 'special': False, 'action': 'release'}"
2024-07-13 21:49:53.186,"{'type': 'key_press', 'key': 'e', 'special': False, 'action': 'press'}"
2024-07-13 21:49:53.277,"{'type': 'key_press', 'key': 'e', 'special': False, 'action': 'release'}"
2024-07-13 21:49:54.177,"{'type': 'key_press', 'key': 'enter', 'special': True, 'action': 'press'}"
2024-07-13 21:49:54.252,"{'type': 'key_press', 'key': 'enter', 'special': True, 'action': 'release'}"
2024-07-13 21:49:56.863,"{'type': 'mouse_click', 'x': 21.6640625, 'y': 92.265625, 'button': 'left', 'pressed': True}"
2024-07-13 21:49:56.967,"{'type': 'mouse_click', 'x': 21.6640625, 'y': 92.265625, 'button': 'left', 'pressed': False}"
2024-07-13 21:50:00.530,"{'type': 'key_press', 'key': 'cmd', 'special': True, 'action': 'press'}"
2024-07-13 21:50:00.802,"{'type': 'key_press', 'key': 'left', 'special': True, 'action': 'press'}"
2024-07-13 21:50:00.892,"{'type': 'key_press', 'key': 'left', 'special': True, 'action': 'release'}"
2024-07-13 21:50:01.200,"{'type': 'key_press', 'key': 'cmd', 'special': True, 'action': 'release'}"
2024-07-13 21:50:04.445,"{'type': 'key_press', 'key': 'ctrl', 'special': True, 'action': 'press'}"
2024-07-13 21:50:04.772,"{'type': 'key_press', 'key': 'left', 'special': True, 'action': 'press'}"
2024-07-13 21:50:04.863,"{'type': 'key_press', 'key': 'left', 'special': True, 'action': 'release'}"
2024-07-13 21:50:05.133,"{'type': 'key_press', 'key': 'ctrl', 'special': True, 'action': 'release'}"
2024-07-13 21:50:06.502,"{'type': 'mouse_click', 'x': 1202.3359375, 'y': 835.78515625, 'button': 'left', 'pressed': True}"
2024-07-13 21:50:06.592,"{'type': 'mouse_click', 'x': 1202.3359375, 'y': 835.78515625, 'button': 'left', 'pressed': False}"
2024-07-13 21:50:06.982,"{'type': 'key_press', 'key': 'ctrl', 'special': True, 'action': 'press'}"
2024-07-13 21:50:07.211,"{'type': 'key_press', 'key': 'c', 'special': False, 'action': 'press'}"
