Timestamp,Command
2024-07-13 21:49:39.046,"{'type': 'mouse_click', 'x': 1056.4609375, 'y': 448.3515625, 'button': 'left', 'pressed': True}"
2024-07-13 21:49:39.132,"{'type': 'mouse_click', 'x': 1056.4609375, 'y': 448.3515625, 'button': 'left', 'pressed': False}"
2024-07-13 21:49:40.349,"{'type': 'mouse_click', 'x': 1071.5703125, 'y': 785.4921875, 'button': 'left', 'pressed': True}"
2024-07-13 21:49:40.434,"{'type': 'mouse_click', 'x': 1071.5703125, 'y': 785.4921875, 'button': 'left', 'pressed': False}"
2024-07-13 21:49:41.586,"{'type': 'key_press', 'key': 'cmd', 'special': True, 'action': 'press'}"
2024-07-13 21:49:41.838,"{'type': 'key_press', 'key': 'space', 'special': True, 'action': 'press'}"
2024-07-13 21:49:41.900,"{'type': 'key_press', 'key': 'space', 'special': True, 'action': 'release'}"
2024-07-13 21:49:42.437,"{'type': 'key_press', 'key': 'cmd', 'special': True, 'action': 'release'}"
2024-07-13 21:49:44.223,"{'type': 'key_press', 'key': 'c', 'special': False, 'action': 'press'}"
2024-07-13 21:49:44.313,"{'type': 'key_press', 'key': 'c', 'special': False, 'action': 'release'}"
2024-07-13 21:49:44.458,"{'type': 'key_press', 'key': 'h', 'special': False, 'action': 'press'}"
2024-07-13 21:49:44.507,"{'type': 'key_press', 'key': 'h', 'special': False, 'action': 'release'}"
2024-07-13 21:49:44.655,"{'type': 'key_press', 'key': 'r', 'special': False, 'action': 'press'}"
2024-07-13 21:49:44.721,"{'type': 'key_press', 'key': 'r', 'special': False, 'action': 'release'}"
2024-07-13 21:49:44.797,"{'type': 'key_press', 'key': 'o', 'special': False, 'action': 'press'}"
2024-07-13 21:49:44.878,"{'type': 'key_press', 'key': 'o', 'special': False, 'action': 'release'}"
2024-07-13 21:49:44.881,"{'type': 'key_press', 'key': 'm', 'special': False, 'action': 'press'}"
2024-07-13 21:49:44.964,"{'type': 'key_press', 'key': 'm', 'special': False, 'action': 'release'}"
